pt,family,spp,spp_id,dist,counts,elev
32,Pycnonotidae,Pycnonotus barbatus,44,3,1,2812
33,Locustellidae,Bradypterus cinnamomeus,47,2,1,2832
33,Cisticolidae,Cisticola chubbi,50,3,2,2832
33,Muscicapidae,Cossypha archeri,60,2,3,2832
33,Malaconotidae,Laniarius poensis,21,6,1,2832
33,Lybiidae,Pogoniulus coryphaeus,4,5,1,2832
34,Locustellidae,Bradypterus cinnamomeus,47,5,1,2871
34,Malaconotidae,Laniarius poensis,21,5,1,2871
34,Phylloscopidae,Phylloscopus laetus,52,4,1,2871
35,Locustellidae,Bradypterus cinnamomeus,47,3,2,2876
35,Cisticolidae,Cisticola chubbi,50,4,4,2876
35,Malaconotidae,Laniarius poensis,21,5,1,2876
35,Phylloscopidae,Phylloscopus laetus,52,2,2,2876
35,Zosteropidae,Zosterops senegalensis,63,2,2,2876
36,Locustellidae,Bradypterus cinnamomeus,47,1,1,2406
36,Cuculidae,Chrysococcyx klaas,11,2,1,2406
36,Cisticolidae,Cisticola chubbi,50,2,2,2406
36,Malaconotidae,Laniarius poensis,21,5,1,2406
36,Muscicapidae,Melaenornis fisheri,26,1,1,2406
36,Ploceidae,Ploceus baglafecht,40,2,2,2406
36,Columbidae,Streptopelia semitorquata,9,4,2,2406
36,Zosteropidae,Zosterops senegalensis,63,1,1,2406
37,Acrocephalidae,Iduna similis,49,3,1,2429
37,Cuculidae,Chrysococcyx klaas,11,5,1,2429
37,Nectariniidae,Cinnyris venustus,33,2,1,2429
37,Cisticolidae,Cisticola chubbi,50,3,2,2429
37,Malaconotidae,Laniarius poensis,21,5,1,2429
37,Lybiidae,Pogoniulus coryphaeus,4,3,1,2429
37,Fringillidae,Crithagra gularis,16,2,1,2429
37,Columbidae,Streptopelia lugens,8,4,3,2429
37,Columbidae,Streptopelia semitorquata,9,3,2,2429
38,Acrocephalidae,Iduna similis,49,3,1,2726
38,Nectariniidae,Cinnyris regius,31,3,1,2726
38,Cisticolidae,Cisticola chubbi,50,2,2,2726
38,Cuculidae,Cuculus solitarius,12,4,1,2726
38,Malaconotidae,Laniarius aethiopicus,19,3,1,2726
38,Malaconotidae,Laniarius poensis,21,3,1,2726
38,Malaconotidae,Telophorus dohertyi,22,3,1,2726
38,Cisticolidae,Oreolais ruwenzori,51,3,1,2726
38,Lybiidae,Pogoniulus bilineatus,3,3,1,2726
38,Lybiidae,Pogoniulus coryphaeus,4,3,1,2726
38,Musophagidae,Ruwenzorornis johnstoni,29,4,2,2726
38,Zosteropidae,Zosterops senegalensis,63,2,2,2726
39,Pycnonotidae,Andropadus nigriceps,43,3,2,2925
39,Locustellidae,Bradypterus cinnamomeus,47,2,1,3047
39,Nectariniidae,Cinnyris stuhlmanni,32,1,1,3047
39,Malaconotidae,Laniarius poensis,21,3,1,3047
39,Malaconotidae,Laniarius poensis,21,4,1,3047
39,Malaconotidae,Telophorus dohertyi,22,3,1,3047
39,Phylloscopidae,Phylloscopus laetus,52,1,1,2925
39,Phylloscopidae,Phylloscopus umbrovirens,53,2,1,2925
39,Sylviidae,Pseudoalcippe abyssinica,58,3,1,2925
39,Musophagidae,Ruwenzorornis johnstoni,29,4,1,2925
39,Zosteropidae,Zosterops senegalensis,63,2,3,2986
40,Pycnonotidae,Andropadus nigriceps,43,1,2,2900
40,Pycnonotidae,Andropadus nigriceps,43,2,1,2900
40,Locustellidae,Bradypterus cinnamomeus,47,2,1,2900
40,Acrocephalidae,Iduna similis,49,2,1,2900
40,Nectariniidae,Cinnyris regius,31,2,1,2900
40,Nectariniidae,Cinnyris stuhlmanni,32,1,1,2900
40,Cisticolidae,Cisticola chubbi,50,3,2,2900
40,Malaconotidae,Laniarius poensis,21,2,1,2900
40,Pycnonotidae,Pycnonotus barbatus,44,1,1,2900
40,Musophagidae,Ruwenzorornis johnstoni,29,4,1,2900
40,Zosteropidae,Zosterops senegalensis,63,1,2,2900
41,Locustellidae,Bradypterus cinnamomeus,47,2,1,2944
41,Malaconotidae,Laniarius poensis,21,3,1,2944
41,Cisticolidae,Oreolais ruwenzori,51,3,1,2944
42,Locustellidae,Bradypterus cinnamomeus,47,2,1,2988
42,Nectariniidae,Cinnyris stuhlmanni,32,1,2,2988
42,Nectariniidae,Cinnyris stuhlmanni,32,3,1,3318
42,Cisticolidae,Oreolais ruwenzori,51,3,1,2988
42,Phylloscopidae,Phylloscopus laetus,52,2,1,2988
42,Phylloscopidae,Phylloscopus umbrovirens,53,3,1,3318
43,Acrocephalidae,Iduna similis,49,3,1,3006
43,Nectariniidae,Cinnyris stuhlmanni,32,1,2,3006
44,Cisticolidae,Apalis porphyrolaema,46,2,1,3025
44,Acrocephalidae,Iduna similis,49,2,1,3025
44,Nectariniidae,Cinnyris stuhlmanni,32,1,2,3025
44,Cisticolidae,Cisticola chubbi,50,3,2,3025
44,Musophagidae,Ruwenzorornis johnstoni,29,4,2,3025
45,Cisticolidae,Apalis personata,45,2,2,2742
45,Cisticolidae,Apalis porphyrolaema,46,3,1,2742
45,Locustellidae,Bradypterus cinnamomeus,47,1,1,2742
45,Nectariniidae,Cinnyris regius,31,2,1,2742
45,Nectariniidae,Cinnyris stuhlmanni,32,1,2,2742
45,Cisticolidae,Cisticola chubbi,50,2,1,2742
45,Columbidae,Columba arquatrix,7,4,1,2742
45,Malaconotidae,Laniarius poensis,21,2,1,2742
45,Malaconotidae,Telophorus dohertyi,22,3,1,2742
45,Ploceidae,Ploceus alienus,39,1,1,2742
45,Lybiidae,Pogoniulus bilineatus,3,2,2,2742
45,Lybiidae,Pogoniulus coryphaeus,4,3,1,2742
45,Musophagidae,Ruwenzorornis johnstoni,29,3,1,2742
46,Locustellidae,Bradypterus cinnamomeus,47,2,1,3041
46,Acrocephalidae,Iduna similis,49,2,1,3041
46,Nectariniidae,Cinnyris stuhlmanni,32,1,1,3041
46,Malaconotidae,Laniarius poensis,21,4,1,3041
47,Locustellidae,Bradypterus cinnamomeus,47,2,1,3053
47,Acrocephalidae,Iduna similis,49,3,1,3053
47,Nectariniidae,Cinnyris stuhlmanni,32,1,2,3053
47,Pycnonotidae,Pycnonotus barbatus,44,3,1,3053
47,Musophagidae,Ruwenzorornis johnstoni,29,4,1,3053
48,Locustellidae,Bradypterus cinnamomeus,47,2,1,3061
48,Acrocephalidae,Iduna similis,49,3,1,3061
48,Muscicapidae,Cossypha archeri,60,3,1,3061
48,Malaconotidae,Laniarius poensis,21,4,1,3061
48,Musophagidae,Ruwenzorornis johnstoni,29,5,2,3061
49,Nectariniidae,Cinnyris stuhlmanni,32,1,1,3081
49,Muscicapidae,Cossypha archeri,60,3,1,3081
49,Malaconotidae,Laniarius poensis,21,3,1,3081
49,Musophagidae,Ruwenzorornis johnstoni,29,4,1,3081
50,Locustellidae,Bradypterus cinnamomeus,47,2,1,3121
50,Acrocephalidae,Iduna similis,49,1,1,3121
50,Nectariniidae,Cinnyris stuhlmanni,32,1,4,3121
50,Muscicapidae,Cossypha archeri,60,2,1,3121
50,Malaconotidae,Laniarius poensis,21,4,1,3121
50,Musophagidae,Ruwenzorornis johnstoni,29,4,2,3121
51,Pycnonotidae,Andropadus nigriceps,43,1,1,2778
51,Platysteiridae,Batis diops,24,2,1,2778
51,Cisticolidae,Cisticola chubbi,50,3,2,2778
51,Muscicapidae,Cossypha archeri,60,2,1,2778
51,Phylloscopidae,Phylloscopus laetus,52,1,2,2778
51,Ploceidae,Ploceus alienus,39,3,1,2778
51,Lybiidae,Pogoniulus bilineatus,3,3,1,2778
51,Musophagidae,Ruwenzorornis johnstoni,29,2,1,2778
51,Zosteropidae,Zosterops senegalensis,63,2,2,2778
52,Cisticolidae,Apalis porphyrolaema,46,2,1,2903
52,Locustellidae,Bradypterus cinnamomeus,47,3,1,2903
52,Acrocephalidae,Iduna similis,49,2,1,2903
52,Nectariniidae,Cinnyris regius,31,1,1,2903
52,Lybiidae,Pogoniulus bilineatus,3,3,1,2903
52,Musophagidae,Ruwenzorornis johnstoni,29,4,2,2903
53,Locustellidae,Bradypterus cinnamomeus,47,1,1,2294
53,Acrocephalidae,Iduna similis,49,3,1,2294
53,Cisticolidae,Cisticola chubbi,50,3,2,2294
53,Lybiidae,Pogoniulus bilineatus,3,4,1,2294
53,Sylviidae,Pseudoalcippe abyssinica,58,5,1,2294
53,Columbidae,Streptopelia semitorquata,9,6,1,2294
54,Locustellidae,Bradypterus cinnamomeus,47,2,2,2413
54,Acrocephalidae,Iduna similis,49,2,1,2413
54,Cisticolidae,Cisticola chubbi,50,3,2,2413
54,Muscicapidae,Cossypha archeri,60,2,1,2413
54,Ploceidae,Ploceus alienus,39,3,1,2413
54,Lybiidae,Pogoniulus bilineatus,3,3,2,2413
54,Sylviidae,Pseudoalcippe abyssinica,58,3,1,2413
54,Lybiidae ,Trachylaemus purpuratus,5,6,1,2413
55,Columbidae,Columba arquatrix,7,1,1,2446
55,Muscicapidae,Cossypha archeri,60,2,1,2446
55,Malaconotidae,Dryoscopus gambensis,18,3,1,2446
55,Cisticolidae,Oreolais ruwenzori,51,2,1,2446
55,Phylloscopidae,Phylloscopus laetus,52,2,1,2446
55,Cisticolidae,Prinia bairdii,54,3,2,2446
55,Sylviidae,Pseudoalcippe abyssinica,58,2,1,2446
55,Zosteropidae,Zosterops senegalensis,63,1,1,2446
56,Cisticolidae,Apalis personata,45,2,2,2482
56,Locustellidae,Bradypterus cinnamomeus,47,1,2,2482
56,Acrocephalidae,Iduna similis,49,2,1,2482
56,Columbidae,Columba arquatrix,7,3,1,2482
56,Malaconotidae,Dryoscopus gambensis,18,3,1,2482
56,Cisticolidae,Oreolais ruwenzori,51,3,1,2482
56,Phylloscopidae,Phylloscopus laetus,52,2,1,2482
56,Lybiidae,Pogoniulus bilineatus,3,3,2,2482
56,Sylviidae,Pseudoalcippe abyssinica,58,1,1,2482
56,Sylviidae,Pseudoalcippe abyssinica,58,3,1,2482
56,Lybiidae ,Trachylaemus purpuratus,5,6,1,2482
57,Cisticolidae,Apalis personata,45,2,1,2528
57,Locustellidae,Bradypterus cinnamomeus,47,2,2,2528
57,Acrocephalidae,Iduna similis,49,3,1,2528
57,Nectariniidae,Cinnyris regius,31,1,1,2528
57,Cisticolidae,Cisticola chubbi,50,3,2,2528
57,Malaconotidae,Dryoscopus gambensis,18,1,1,2528
57,Cisticolidae,Oreolais ruwenzori,51,1,1,2528
57,Lybiidae,Pogoniulus bilineatus,3,3,2,2528
57,Lybiidae,Pogoniulus coryphaeus,4,1,1,2528
57,Cisticolidae,Prinia bairdii,54,2,2,2528
57,Sylviidae,Pseudoalcippe abyssinica,58,2,1,2528
57,Fringillidae,Crithagra gularis,16,2,1,2528
58,Cisticolidae,Apalis personata,45,3,2,2597
58,Pycnonotidae,Andropadus nigriceps,43,2,1,2597
58,Locustellidae,Bradypterus cinnamomeus,47,2,2,2597
58,Acrocephalidae,Iduna similis,49,3,1,2597
58,Columbidae,Columba arquatrix,7,2,1,2597
58,Muscicapidae,Cossypha archeri,60,2,1,2597
58,Malaconotidae,Laniarius poensis,21,3,1,2597
58,Oriolidae,Oriolus percivali,37,4,1,2597
58,Lybiidae,Pogoniulus bilineatus,3,4,1,2597
58,Lybiidae ,Trachylaemus purpuratus,5,5,1,2597
59,Cisticolidae,Apalis personata,45,3,2,2605
59,Trogonidae,Apaloderma narina,59,2,1,2605
59,Platysteiridae,Batis diops,24,1,1,2605
59,Locustellidae,Bradypterus cinnamomeus,47,2,2,2605
59,Acrocephalidae,Iduna similis,49,3,1,2605
59,Cisticolidae,Cisticola chubbi,50,2,1,2605
59,Columbidae,Columba arquatrix,7,4,1,2605
59,Muscicapidae,Cossypha archeri,60,2,1,2605
59,Malaconotidae,Dryoscopus gambensis,18,2,1,2605
59,Malaconotidae,Laniarius poensis,21,2,1,2605
59,Muscicapidae,Melaenornis fisheri,26,2,1,2605
59,Oriolidae,Oriolus percivali,37,3,1,2605
59,Ploceidae,Ploceus alienus,39,3,1,2605
59,Lybiidae,Pogoniulus bilineatus,3,2,2,2605
59,Sylviidae,Pseudoalcippe abyssinica,58,2,1,2605
60,Locustellidae,Bradypterus cinnamomeus,47,3,2,2326
60,Cuculidae,Centropus monachus,10,5,1,2326
60,Cuculidae,Chrysococcyx klaas,11,4,1,2326
60,Cisticolidae,Cisticola chubbi,50,3,2,2326
60,Muscicapidae,Cossypha archeri,60,3,1,2326
60,Malaconotidae,Laniarius poensis,21,2,1,2326
60,Hirundinidae,Psalidoprocne pristoptera,17,2,2,2326
60,Sylviidae,Pseudoalcippe abyssinica,58,2,1,2326
61,Locustellidae,Bradypterus cinnamomeus,47,2,1,2651
61,Acrocephalidae,Iduna similis,49,2,2,2651
61,Nectariniidae,Cinnyris regius,31,2,1,2651
61,Cisticolidae,Cisticola chubbi,50,4,2,2651
61,Malaconotidae,Dryoscopus gambensis,18,3,1,2651
61,Malaconotidae,Laniarius poensis,21,3,1,2651
61,Psittacidae,Poicephalus meyeri,41,4,2,2651
61,Zosteropidae,Zosterops senegalensis,63,1,2,2651
62,Cisticolidae,Apalis personata,45,2,2,2667
62,Locustellidae,Bradypterus cinnamomeus,47,2,1,2667
62,Acrocephalidae,Iduna similis,49,2,1,2667
62,Nectariniidae,Cinnyris regius,31,2,2,2667
62,Cisticolidae,Cisticola chubbi,50,3,2,2667
