pt,family,spp,spp_id,dist,counts,elev
162,Cisticolidae,Oreolais ruwenzori,4,1,1,2550
163,Cisticolidae,Cisticola chubbi,3,3,2,2603
164,Cisticolidae,Apalis personata,1,3,2,2638
164,Cisticolidae,Cisticola chubbi,3,3,2,2638
164,Cisticolidae,Cisticola chubbi,3,4,2,2638
165,Cisticolidae,Cisticola chubbi,3,2,2,2306
165,Cisticolidae,Cisticola chubbi,3,3,2,2306
165,Cisticolidae,Oreolais ruwenzori,4,3,2,2306
166,Cisticolidae,Apalis personata,1,3,2,2720
166,Cisticolidae,Cisticola chubbi,3,4,2,2720
166,Cisticolidae,Oreolais ruwenzori,4,4,1,2720
167,Cisticolidae,Apalis personata,1,2,2,2758
167,Cisticolidae,Apalis porphyrolaema,2,3,1,2758
167,Cisticolidae,Oreolais ruwenzori,4,1,2,2758
167,Cisticolidae,Oreolais ruwenzori,4,3,1,2758
168,Cisticolidae,Apalis personata,1,1,2,2860
168,Cisticolidae,Apalis porphyrolaema,2,1,2,2860
168,Cisticolidae,Cisticola chubbi,3,2,2,2860
168,Cisticolidae,Oreolais ruwenzori,4,1,2,2860
169,Cisticolidae,Apalis porphyrolaema,2,3,1,2339
169,Cisticolidae,Cisticola chubbi,3,2,2,2339
170,Cisticolidae,Apalis personata,1,2,3,2414
170,Cisticolidae,Cisticola chubbi,3,3,2,2414
171,Cisticolidae,Cisticola chubbi,3,3,2,2152
172,Cisticolidae,Cisticola chubbi,3,2,2,2228
172,Cisticolidae,Oreolais ruwenzori,4,2,2,2228
173,Cisticolidae,Apalis personata,1,2,2,2230
173,Cisticolidae,Cisticola chubbi,3,4,2,2230
175,Cisticolidae,Oreolais ruwenzori,4,2,2,2290
176,Cisticolidae,Cisticola chubbi,3,4,2,2350
177,Cisticolidae,Oreolais ruwenzori,4,2,1,2386
178,Cisticolidae,Apalis personata,1,2,2,2167
178,Cisticolidae,Apalis porphyrolaema,2,3,1,2167
178,Cisticolidae,Prinia bairdii,5,3,3,2167
179,Cisticolidae,Apalis porphyrolaema,2,2,2,2410
179,Cisticolidae,Cisticola chubbi,3,2,2,2410
179,Cisticolidae,Cisticola chubbi,3,4,2,2410
179,Cisticolidae,Oreolais ruwenzori,4,3,1,2410
179,Cisticolidae,Prinia bairdii,5,3,2,2410
180,Cisticolidae,Apalis porphyrolaema,2,3,1,2417
180,Cisticolidae,Oreolais ruwenzori,4,2,1,2417
181,Cisticolidae,Apalis personata,1,1,2,2425
181,Cisticolidae,Oreolais ruwenzori,4,3,1,2425
182,Cisticolidae,Apalis porphyrolaema,2,2,2,2459
182,Cisticolidae,Oreolais ruwenzori,4,3,1,2459
183,Cisticolidae,Apalis porphyrolaema,2,3,1,2460
183,Cisticolidae,Cisticola chubbi,3,2,2,2460
184,Cisticolidae,Apalis porphyrolaema,2,1,2,2479
185,Cisticolidae,Apalis personata,1,2,2,2482
185,Cisticolidae,Apalis porphyrolaema,2,1,2,2482
186,Cisticolidae,Cisticola chubbi,3,3,2,2188
186,Cisticolidae,Prinia bairdii,5,3,1,2188
187,Cisticolidae,Apalis personata,1,2,2,2213
187,Cisticolidae,Apalis porphyrolaema,2,2,2,2213
187,Cisticolidae,Cisticola chubbi,3,3,2,2213
187,Cisticolidae,Prinia bairdii,5,2,2,2213
188,Cisticolidae,Cisticola chubbi,3,2,2,2138
188,Cisticolidae,Oreolais ruwenzori,4,1,1,2138
188,Cisticolidae,Oreolais ruwenzori,4,2,2,2138
189,Cisticolidae,Apalis porphyrolaema,2,3,2,2230
189,Cisticolidae,Cisticola chubbi,3,1,2,2230
189,Cisticolidae,Oreolais ruwenzori,4,2,1,2230
189,Cisticolidae,Prinia bairdii,5,1,3,2230
190,Cisticolidae,Apalis porphyrolaema,2,2,2,2271
190,Cisticolidae,Cisticola chubbi,3,2,2,2271
190,Cisticolidae,Prinia bairdii,5,2,3,2271
191,Cisticolidae,Cisticola chubbi,3,3,2,2276
192,Cisticolidae,Cisticola chubbi,3,4,2,2301
192,Cisticolidae,Oreolais ruwenzori,4,3,1,2301
193,Cisticolidae,Cisticola chubbi,3,4,2,2305
193,Cisticolidae,Prinia bairdii,5,1,2,2305
195,Cisticolidae,Oreolais ruwenzori,4,2,2,2180
198,Cisticolidae,Apalis porphyrolaema,2,3,1,2329
198,Cisticolidae,Oreolais ruwenzori,4,3,1,2329
200,Cisticolidae,Oreolais ruwenzori,4,2,1,2346
201,Cisticolidae,Oreolais ruwenzori,4,2,1,2343
203,Cisticolidae,Apalis porphyrolaema,2,2,2,2184
203,Cisticolidae,Oreolais ruwenzori,4,2,2,2184
204,Cisticolidae,Apalis porphyrolaema,2,3,2,2206
204,Cisticolidae,Cisticola chubbi,3,1,2,2206
204,Cisticolidae,Oreolais ruwenzori,4,1,2,2206
204,Cisticolidae,Prinia bairdii,5,1,2,2206
205,Cisticolidae,Cisticola chubbi,3,2,2,2106
205,Cisticolidae,Cisticola chubbi,3,4,2,2106
205,Cisticolidae,Oreolais ruwenzori,4,2,1,2106
206,Cisticolidae,Apalis porphyrolaema,2,2,2,2226
206,Cisticolidae,Cisticola chubbi,3,4,2,2226
206,Cisticolidae,Oreolais ruwenzori,4,2,2,2226
207,Cisticolidae,Apalis porphyrolaema,2,2,1,2226
207,Cisticolidae,Cisticola chubbi,3,2,2,2226
207,Cisticolidae,Oreolais ruwenzori,4,1,2,2226
207,Cisticolidae,Prinia bairdii,5,2,2,2226
208,Cisticolidae,Prinia bairdii,5,3,2,2250
209,Cisticolidae,Cisticola chubbi,3,3,2,2285
209,Cisticolidae,Oreolais ruwenzori,4,2,1,2285
209,Cisticolidae,Prinia bairdii,5,2,2,2285
210,Cisticolidae,Apalis porphyrolaema,2,3,2,2304
210,Cisticolidae,Cisticola chubbi,3,3,2,2304
